contig_id,cluster_id
k141_186,19
k141_6751,21
k141_43824,17
k141_24176,6
k141_17611,11
k141_11085,17
k141_48135,11
k141_21997,10
k141_37246,10
k141_13303,8
k141_24178,17
k141_19799,21
k141_39406,8
k141_8833,9
k141_4512,17
k141_11087,2
k141_28546,10
k141_48138,8
k141_2332,17
k141_24180,19
k141_15453,21
k141_17612,20
k141_13305,9
k141_192,9
k141_15454,17
k141_2333,2
k141_8834,8
k141_32923,21
k141_28549,2
k141_15455,21
k141_24185,9
k141_45971,17
k141_17614,10
k141_4516,21
k141_37254,2
k141_22008,21
k141_43837,20
k141_28550,10
k141_19809,6
k141_48145,19
k141_50314,17
k141_28551,4
k141_32928,9
k141_41638,6
k141_13308,20
k141_45973,8
k141_199,19
k141_43840,10
k141_11095,11
k141_200,2
k141_26349,20
k141_13311,10
k141_17620,10
k141_37265,9
k141_32930,9
k141_19818,21
k141_39422,10
k141_35082,8
k141_6773,20
k141_22017,21
k141_45979,20
k141_37266,17
k141_32931,20
k141_15470,0
k141_2347,9
k141_17622,8
k141_24189,21
k141_43846,9
k141_13318,10
k141_22020,0
k141_4530,10
k141_39426,10
k141_24190,21
k141_26352,21
k141_204,11
k141_32938,10
k141_50326,8
k141_41655,10
k141_17626,2
k141_15479,10
k141_11106,10
k141_50328,6
k141_37278,10
k141_15480,0
k141_24194,8
k141_45990,8
k141_32943,10
k141_28572,20
k141_30724,19
k141_211,9
k141_11108,9
k141_43857,20
k141_39435,20
k141_26360,2
k141_48167,10
k141_50332,17
k141_32944,21
k141_22031,20
k141_35098,9
k141_28576,10
k141_6781,0
k141_48168,21
k141_30726,2
k141_43861,8
k141_2362,8
k141_4534,11
k141_32946,0
k141_37279,9
k141_35099,20
k141_19835,21
k141_24203,17
k141_41666,10
k141_45999,10
k141_22034,10
k141_50341,0
k141_35101,10
k141_2365,20
k141_30730,10
k141_13339,10
k141_17636,8
k141_8862,17
k141_43864,19
k141_6784,10
k141_28584,19
k141_15488,11
k141_43866,10
k141_48178,21
k141_50346,5
k141_39449,10
k141_19845,21
k141_41676,20
k141_4544,17
k141_28589,9
k141_24214,10
k141_43867,19
k141_226,20
k141_8863,19
k141_30738,10
k141_35110,6
k141_32960,8
k141_2370,19
k141_50348,2
k141_28590,9
k141_13349,10
k141_41678,21
k141_17643,8
k141_4546,10
k141_26380,20
k141_39452,10
k141_35112,21
k141_24216,19
k141_48181,10
k141_22044,9
k141_13352,10
k141_232,21
k141_28592,20
k141_46020,17
k141_32965,6
k141_43873,0
k141_4549,9
k141_11136,20
k141_13354,10
k141_50355,0
k141_41684,10
k141_46021,18
k141_234,2
k141_24222,21
k141_6794,10
k141_48184,9
k141_37306,20
k141_35117,2
k141_43879,10
k141_32970,9
k141_8871,10
k141_15509,20
k141_28601,9
k141_24224,20
k141_17653,19
k141_37307,9
k141_46024,20
k141_28602,2
k141_4556,17
k141_6795,8
k141_22056,21
k141_43884,9
k141_15513,6
k141_19858,9
k141_13364,8
k141_24229,9
k141_17659,21
k141_30764,0
k141_11147,21
k141_24230,9
k141_37312,11
