contig	cov_mean_sample_C13.sorted	cov_mean_sample_C1.sorted	cov_mean_sample_C27.sorted	cov_mean_sample_C32.sorted	cov_mean_sample_C45.sorted	cov_mean_sample_C51.sorted
k141_50912.concoct_part_0	0.000	0.000	1.612	0.000	0.000	0.000
k141_20361.concoct_part_0	0.649	0.327	0.000	0.000	0.372	0.654
k141_46566.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.548
k141_22591.concoct_part_0	0.000	0.000	1.858	0.000	0.000	0.000
k141_29132.concoct_part_0	0.650	0.000	0.000	0.000	0.851	0.000
k141_13942.concoct_part_0	0.000	0.000	0.000	0.000	0.000	1.812
k141_11731.concoct_part_0	0.550	0.308	0.000	0.000	1.603	1.416
k141_50913.concoct_part_0	0.000	0.000	0.000	0.000	0.000	1.949
k141_44393.concoct_part_0	0.384	0.423	0.000	0.000	1.078	0.423
k141_2947.concoct_part_0	0.000	0.180	0.000	1.480	0.000	0.000
k141_40046.concoct_part_0	0.000	0.000	0.000	0.000	2.581	0.000
k141_18021.concoct_part_0	0.465	1.086	0.000	0.000	0.000	1.224
k141_867.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.615
k141_48742.concoct_part_0	2.760	0.000	0.000	0.000	0.000	0.000
k141_37873.concoct_part_0	0.000	0.000	1.923	0.000	0.000	0.000
k141_20362.concoct_part_0	0.000	0.000	1.462	0.000	0.000	0.000
k141_24807.concoct_part_0	0.813	0.971	0.000	0.000	0.000	0.000
k141_42256.concoct_part_0	0.000	1.266	0.000	0.000	0.000	0.961
k141_50914.concoct_part_0	0.000	2.045	0.000	0.000	0.000	0.000
k141_13943.concoct_part_0	0.736	0.760	0.000	0.000	0.403	0.811
k141_22592.concoct_part_0	0.000	0.000	0.000	0.000	4.830	0.000
k141_29133.concoct_part_0	0.000	0.000	0.000	0.000	1.362	0.372
k141_31303.concoct_part_0	3.063	0.145	0.000	0.000	0.000	0.000
k141_2948.concoct_part_0	0.000	0.000	2.615	0.000	0.000	0.000
k141_5066.concoct_part_0	0.000	0.000	1.778	0.440	0.000	0.000
k141_35701.concoct_part_0	0.000	0.093	0.000	0.000	2.806	0.323
k141_48743.concoct_part_0	0.788	0.000	0.000	0.000	0.405	0.000
k141_46567.concoct_part_0	0.000	0.000	1.846	0.000	0.000	0.000
k141_40047.concoct_part_0	0.000	0.000	0.000	2.350	0.000	0.000
k141_20363.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.502
k141_50915.concoct_part_0	0.554	0.000	0.000	0.000	1.717	0.389
k141_13944.concoct_part_0	0.783	0.349	1.643	0.399	0.000	0.000
k141_42257.concoct_part_0	0.000	0.000	0.000	0.000	1.848	0.000
k141_31304.concoct_part_0	0.000	0.000	0.000	2.141	0.000	0.000
k141_5067.concoct_part_0	0.797	0.000	0.000	0.000	0.309	0.841
k141_48744.concoct_part_0	0.000	0.000	1.874	0.000	0.000	0.000
k141_2949.concoct_part_0	0.000	0.476	0.000	0.000	1.010	1.019
k141_22593.concoct_part_0	1.509	0.607	0.000	0.904	0.000	0.000
k141_40048.concoct_part_0	0.000	0.000	1.912	0.000	0.000	0.000
k141_44394.concoct_part_0	0.125	0.000	2.199	0.191	0.000	0.000
k141_26939.concoct_part_0	3.586	0.000	0.000	0.250	0.000	0.095
k141_37874.concoct_part_0	0.000	0.000	1.661	0.000	0.000	0.000
k141_35702.concoct_part_0	2.449	0.000	0.000	0.311	0.000	0.000
k141_20364.concoct_part_0	0.000	2.940	0.000	0.000	0.252	0.000
k141_11732.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.715
k141_5068.concoct_part_0	0.000	0.492	0.000	0.205	0.000	0.000
k141_7322.concoct_part_0	2.217	0.000	0.000	0.908	0.375	0.000
k141_31305.concoct_part_0	0.000	0.000	0.000	1.952	0.000	0.000
k141_13945.concoct_part_0	0.000	0.000	1.494	0.000	0.000	0.000
k141_50916.concoct_part_0	0.000	1.499	0.000	0.000	1.932	0.000
k141_29134.concoct_part_0	0.000	0.000	1.641	0.291	0.000	0.000
k141_20365.concoct_part_0	0.655	0.492	0.000	0.000	0.000	0.000
k141_48745.concoct_part_0	0.000	0.000	1.858	0.325	0.000	0.000
k141_37875.concoct_part_0	0.556	0.883	0.000	0.000	0.000	0.883
k141_2950.concoct_part_0	0.979	0.000	0.000	0.000	0.629	0.000
k141_35703.concoct_part_0	0.000	0.000	1.627	0.000	0.000	0.000
k141_40049.concoct_part_0	0.000	0.000	1.509	0.000	0.000	0.000
k141_33509.concoct_part_0	1.038	2.592	0.000	0.000	0.938	0.000
k141_50917.concoct_part_0	0.000	0.000	1.791	0.000	0.000	0.000
k141_5069.concoct_part_0	1.497	0.000	0.000	0.000	0.000	0.000
k141_42258.concoct_part_0	1.748	0.000	0.000	0.000	0.000	0.000
k141_16129.concoct_part_0	2.176	0.461	0.000	0.176	0.084	0.682
k141_13946.concoct_part_0	0.000	1.504	0.000	0.501	0.000	0.000
k141_26940.concoct_part_0	0.000	1.656	0.000	0.000	0.265	0.000
k141_868.concoct_part_0	0.000	0.000	1.808	0.117	0.000	0.000
k141_44395.concoct_part_0	0.000	0.000	0.000	0.000	3.116	0.000
k141_20366.concoct_part_0	0.000	0.000	0.000	2.970	0.000	0.000
k141_31306.concoct_part_0	0.000	0.000	2.244	1.383	0.000	0.509
k141_7323.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.730
k141_2951.concoct_part_0	0.000	2.452	0.000	0.000	0.000	0.000
k141_35704.concoct_part_0	0.000	0.000	2.563	0.000	0.000	0.000
k141_13947.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.323
k141_11733.concoct_part_0	4.254	0.000	0.000	0.000	0.000	0.000
k141_37876.concoct_part_0	0.000	1.777	0.000	0.000	0.437	1.262
k141_24808.concoct_part_0	2.766	0.115	0.000	1.087	0.000	0.000
k141_33510.concoct_part_0	0.000	0.000	0.000	4.404	0.000	0.000
k141_44396.concoct_part_0	0.000	0.000	2.532	0.000	0.000	0.000
k141_16130.concoct_part_0	0.000	0.000	1.797	0.000	0.000	0.000
k141_26941.concoct_part_0	0.000	0.127	2.727	0.000	0.000	0.000
k141_9374.concoct_part_0	0.000	0.000	4.698	0.000	0.000	0.000
k141_2952.concoct_part_0	0.771	0.000	0.474	2.638	0.000	0.000
k141_42259.concoct_part_0	0.000	1.911	0.000	0.000	0.000	0.735
k141_5070.concoct_part_0	0.000	0.000	2.769	0.000	0.000	0.000
k141_44397.concoct_part_0	0.000	0.000	0.000	0.000	1.107	0.000
k141_24809.concoct_part_0	0.000	1.901	0.000	0.000	0.000	0.000
k141_13948.concoct_part_0	0.000	0.000	0.000	1.104	0.742	0.000
k141_20367.concoct_part_0	0.000	2.070	0.000	0.000	0.000	0.000
k141_869.concoct_part_0	3.405	0.000	0.000	0.000	0.000	0.148
k141_35705.concoct_part_0	0.000	0.876	0.000	0.000	1.217	0.000
k141_37877.concoct_part_0	0.000	0.000	0.000	0.000	2.634	0.000
k141_50918.concoct_part_0	0.000	0.000	2.313	0.000	0.000	0.000
k141_29135.concoct_part_0	0.000	1.552	0.000	0.000	0.690	0.409
k141_26942.concoct_part_0	2.018	0.360	0.000	0.609	0.000	0.000
k141_2953.concoct_part_0	0.168	0.000	0.000	2.319	0.000	0.000
k141_22594.concoct_part_0	1.508	1.037	0.000	0.000	1.576	0.084
k141_18022.concoct_part_0	0.000	0.000	4.650	0.000	0.584	0.000
k141_42260.concoct_part_0	0.915	1.482	0.000	0.000	0.000	0.404
k141_870.concoct_part_0	0.000	1.571	0.000	0.000	0.463	0.000
k141_13949.concoct_part_0	1.124	0.000	0.000	0.000	0.975	0.000
k141_16131.concoct_part_0	2.263	0.280	0.000	0.000	0.000	0.000
k141_40050.concoct_part_0	1.914	1.022	0.040	1.002	0.207	0.428
k141_50919.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.231
k141_37878.concoct_part_0	0.000	0.000	0.000	1.534	0.000	0.000
k141_24810.concoct_part_0	0.000	1.851	0.000	0.817	0.000	0.000
k141_29136.concoct_part_0	0.000	0.000	2.228	0.000	0.000	0.000
k141_46568.concoct_part_0	2.317	0.000	0.000	0.049	0.000	0.130
k141_2954.concoct_part_0	2.142	0.334	0.000	0.000	0.000	0.000
k141_5071.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.590
k141_13950.concoct_part_0	0.748	1.128	0.940	0.000	0.000	0.000
k141_26943.concoct_part_0	0.000	0.000	0.000	0.933	0.683	0.426
k141_33511.concoct_part_0	0.000	0.000	2.158	0.177	0.000	0.000
k141_871.concoct_part_0	2.206	0.000	0.000	1.171	0.000	0.000
k141_7324.concoct_part_0	0.000	0.000	2.224	0.468	0.000	0.000
k141_24811.concoct_part_0	0.000	1.234	0.000	0.000	0.782	0.403
k141_20368.concoct_part_0	1.631	0.000	0.000	0.000	0.000	0.569
k141_37879.concoct_part_0	1.095	0.000	0.000	0.433	0.000	0.000
k141_16132.concoct_part_0	0.000	0.492	0.000	0.000	0.495	0.000
k141_9375.concoct_part_0	0.000	0.000	3.055	0.000	0.000	0.000
k141_44398.concoct_part_0	0.929	0.769	0.000	0.497	0.000	0.227
k141_31307.concoct_part_0	0.000	0.000	0.000	3.941	0.000	0.000
k141_46569.concoct_part_0	0.000	1.134	0.000	0.000	1.168	0.000
k141_22595.concoct_part_0	1.920	1.216	0.327	2.385	0.000	0.000
k141_13951.concoct_part_0	0.000	1.578	0.000	0.000	0.384	1.115
k141_18024.concoct_part_0	2.506	0.000	0.000	0.000	0.000	0.000
k141_24812.concoct_part_0	0.399	1.280	0.000	0.000	1.360	0.000
k141_2955.concoct_part_0	0.000	0.405	0.000	0.000	1.733	0.000
k141_16133.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.043
k141_872.concoct_part_0	1.704	0.000	0.000	0.000	1.599	0.000
k141_29137.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.323
k141_44399.concoct_part_0	1.078	0.601	0.000	0.000	0.356	0.000
k141_9376.concoct_part_0	0.000	0.000	2.340	0.000	0.000	0.000
k141_7325.concoct_part_0	0.000	0.000	0.000	0.000	2.684	0.000
k141_26944.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.827
k141_22596.concoct_part_0	0.000	1.103	0.000	0.000	2.265	0.000
k141_46570.concoct_part_0	0.000	3.409	0.000	0.000	0.000	0.000
k141_42261.concoct_part_0	0.746	0.752	0.000	0.434	0.000	0.370
k141_20369.concoct_part_0	0.000	2.368	0.000	0.000	0.299	0.000
k141_13952.concoct_part_0	2.992	0.000	0.000	0.000	0.000	0.000
k141_873.concoct_part_0	0.000	0.000	0.000	2.409	0.000	0.000
k141_29138.concoct_part_0	0.000	0.933	0.000	0.000	0.697	0.000
k141_31308.concoct_part_0	0.407	0.293	0.000	2.279	0.000	0.000
k141_5072.concoct_part_0	1.540	0.122	0.230	0.678	0.000	0.000
k141_16134.concoct_part_0	0.000	0.000	1.300	0.000	0.000	0.000
k141_26945.concoct_part_0	0.430	1.336	0.000	0.000	0.000	0.000
k141_37880.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.474
k141_46571.concoct_part_0	1.463	0.977	0.000	0.000	0.000	0.000
k141_24813.concoct_part_0	0.000	0.246	0.000	0.000	1.054	0.445
k141_20370.concoct_part_0	1.755	0.000	0.000	0.308	0.000	0.182
k141_42262.concoct_part_0	0.000	0.000	1.893	0.000	0.000	0.000
k141_48746.concoct_part_0	0.206	0.000	2.620	0.000	0.662	0.000
k141_33512.concoct_part_0	0.000	0.000	2.431	0.344	0.000	0.000
k141_2956.concoct_part_0	0.000	1.096	0.000	0.000	0.985	0.000
k141_44400.concoct_part_0	0.000	0.000	0.000	0.000	3.964	0.000
k141_18025.concoct_part_0	0.000	0.990	0.000	0.983	0.000	0.000
k141_874.concoct_part_0	0.000	0.000	1.688	0.000	0.000	0.000
k141_26946.concoct_part_0	0.000	0.000	0.000	0.000	1.998	0.000
k141_7326.concoct_part_0	0.000	0.381	0.000	0.000	1.907	0.000
k141_42263.concoct_part_0	0.000	0.000	0.000	0.000	1.829	0.000
k141_22597.concoct_part_0	0.000	0.000	2.209	0.000	0.000	0.000
k141_11734.concoct_part_0	0.275	1.182	0.000	0.000	1.167	1.326
k141_24814.concoct_part_0	0.000	0.000	1.197	0.000	0.685	0.000
k141_46572.concoct_part_0	0.000	0.000	1.627	0.000	0.000	0.000
k141_20371.concoct_part_0	0.000	1.919	0.000	0.000	0.000	0.000
k141_29139.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.001
k141_48747.concoct_part_0	0.000	0.000	0.000	0.000	2.706	0.000
k141_42264.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.003
k141_37881.concoct_part_0	2.526	1.306	0.000	0.444	0.478	0.214
k141_50920.concoct_part_0	0.000	0.000	2.990	0.000	0.396	0.000
k141_31309.concoct_part_0	1.595	0.481	0.073	0.000	0.077	0.192
k141_13953.concoct_part_0	0.000	0.000	2.097	0.000	0.000	0.000
k141_46573.concoct_part_0	2.399	0.000	0.000	0.000	0.000	0.000
k141_35706.concoct_part_0	0.000	0.000	0.000	4.049	0.000	0.017
k141_20372.concoct_part_0	1.967	0.000	0.000	0.000	0.000	0.000
k141_9377.concoct_part_0	2.732	0.000	0.000	0.000	0.000	0.000
k141_18026.concoct_part_0	0.000	0.000	2.916	0.000	0.000	0.000
k141_875.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.587
k141_50921.concoct_part_0	0.000	2.167	0.000	0.000	0.000	0.000
k141_22598.concoct_part_0	0.000	0.000	2.488	0.000	0.000	0.000
k141_29140.concoct_part_0	0.000	0.000	0.000	2.192	0.000	0.000
k141_24815.concoct_part_0	0.000	0.000	0.000	3.892	0.000	0.000
k141_44401.concoct_part_0	0.000	1.960	0.000	0.000	0.927	0.000
k141_48748.concoct_part_0	0.442	0.410	0.000	0.576	0.000	0.580
k141_37882.concoct_part_0	0.481	0.760	0.000	0.000	0.000	0.822
k141_35707.concoct_part_0	0.000	0.493	0.000	0.000	0.490	1.105
k141_42265.concoct_part_0	0.224	0.000	3.428	0.000	0.000	0.000
k141_5073.concoct_part_0	0.642	0.147	4.702	0.658	0.000	0.094
k141_50922.concoct_part_0	0.000	0.000	0.000	0.000	2.462	0.000
k141_11735.concoct_part_0	1.542	0.339	0.000	1.561	0.072	0.173
k141_876.concoct_part_0	0.000	0.000	1.413	0.000	0.000	0.000
k141_33513.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.687
k141_22599.concoct_part_0	0.000	0.000	0.000	0.000	0.319	1.419
k141_13954.concoct_part_0	0.465	0.000	2.550	0.000	0.000	0.000
k141_46574.concoct_part_0	0.552	0.000	0.000	0.000	1.775	0.426
k141_31310.concoct_part_0	1.950	0.000	0.000	0.000	0.000	0.000
k141_37883.concoct_part_0	0.000	0.000	0.000	0.000	2.125	0.000
k141_35708.concoct_part_0	0.000	0.000	0.818	0.000	0.000	0.000
k141_5074.concoct_part_0	0.000	0.786	0.000	0.393	1.180	0.000
k141_20373.concoct_part_0	1.073	1.073	0.000	0.567	0.000	0.564
k141_50923.concoct_part_0	0.000	0.000	2.009	0.000	0.000	0.000
k141_11736.concoct_part_0	0.000	0.978	0.937	0.259	0.000	0.296
k141_44402.concoct_part_0	0.000	0.000	1.497	0.000	0.396	0.000
k141_9378.concoct_part_0	3.671	0.186	0.000	0.898	0.000	0.000
k141_877.concoct_part_0	0.000	0.000	1.671	0.000	0.000	0.000
k141_35709.concoct_part_0	0.000	1.387	0.000	0.000	0.487	0.000
k141_42266.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.784
k141_24816.concoct_part_0	3.091	0.470	0.000	0.468	0.000	0.000
k141_31311.concoct_part_0	0.000	1.382	0.000	0.657	0.000	0.336
k141_37884.concoct_part_0	0.000	0.000	0.000	0.000	1.491	0.000
k141_46575.concoct_part_0	0.000	0.619	0.598	0.000	2.105	0.000
k141_33514.concoct_part_0	0.574	0.697	0.000	0.000	0.694	0.465
k141_11737.concoct_part_0	0.000	1.274	0.000	0.000	1.571	0.000
k141_13955.concoct_part_0	2.554	0.672	0.000	0.000	0.000	0.000
k141_22601.concoct_part_0	0.000	0.567	0.000	0.000	0.000	1.516
k141_7327.concoct_part_0	0.000	1.451	0.000	0.000	0.396	0.920
k141_20374.concoct_part_0	0.000	0.000	0.000	1.741	0.000	0.000
k141_35710.concoct_part_0	0.000	0.000	1.478	0.000	0.000	0.000
k141_26947.concoct_part_0	3.252	0.000	0.000	0.851	0.000	0.000
k141_44403.concoct_part_0	0.661	0.344	0.000	0.000	0.344	0.679
k141_24817.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.180
k141_42267.concoct_part_0	0.000	0.608	0.000	1.285	0.000	0.867
k141_16135.concoct_part_0	0.000	0.149	4.350	0.000	0.000	0.000
k141_37885.concoct_part_0	0.000	0.000	1.806	0.000	0.000	0.000
k141_13956.concoct_part_0	0.000	1.834	0.000	0.000	0.000	0.000
k141_33515.concoct_part_0	0.000	0.000	0.000	0.000	0.770	1.156
k141_48749.concoct_part_0	0.000	2.374	0.000	0.000	0.272	0.490
k141_2957.concoct_part_0	0.659	0.792	0.000	0.000	0.904	0.409
k141_31312.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.403
k141_29141.concoct_part_0	2.389	0.567	0.000	0.461	0.000	0.240
k141_11738.concoct_part_0	0.000	1.077	0.000	0.000	0.000	1.676
k141_35711.concoct_part_0	0.000	0.000	0.000	1.377	0.000	0.000
k141_878.concoct_part_0	0.000	2.220	0.000	0.000	0.000	0.000
k141_22602.concoct_part_0	0.000	0.000	1.817	0.570	0.000	0.000
k141_42268.concoct_part_0	0.000	2.177	0.000	0.000	0.477	0.000
k141_5075.concoct_part_0	1.233	1.372	0.000	0.179	0.061	0.000
k141_20375.concoct_part_0	0.427	1.659	0.000	0.000	1.154	0.000
k141_13957.concoct_part_0	0.000	0.000	1.734	0.000	0.000	0.000
k141_26948.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.624
k141_35712.concoct_part_0	0.000	0.000	1.000	0.000	0.000	0.000
k141_22603.concoct_part_0	0.000	0.000	1.897	0.000	0.000	0.000
k141_29142.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.753
k141_20376.concoct_part_0	0.000	2.085	0.000	0.000	0.000	0.000
k141_33516.concoct_part_0	0.000	0.000	0.000	2.872	0.000	0.000
k141_37886.concoct_part_0	1.729	0.259	0.000	0.000	0.000	0.000
k141_879.concoct_part_0	0.000	0.000	0.000	0.000	2.675	0.000
k141_44404.concoct_part_0	0.187	1.601	0.000	0.000	0.000	1.618
k141_7328.concoct_part_0	0.000	0.000	1.550	0.000	0.000	0.468
k141_16136.concoct_part_0	2.554	0.330	0.000	0.000	0.216	0.000
k141_24818.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.579
k141_26949.concoct_part_0	1.017	0.659	0.338	0.000	1.102	0.703
k141_40051.concoct_part_0	0.322	0.074	4.838	0.022	0.340	0.000
k141_42269.concoct_part_0	0.000	0.000	1.383	0.000	0.000	0.000
k141_35713.concoct_part_0	0.000	0.000	0.000	0.000	1.738	0.000
k141_9379.concoct_part_0	0.000	0.620	0.000	0.000	0.750	1.281
k141_33517.concoct_part_0	2.235	0.000	0.000	0.000	0.000	0.000
k141_5076.concoct_part_0	0.645	2.088	0.000	0.000	0.000	0.000
k141_31313.concoct_part_0	0.811	2.027	0.000	0.000	0.181	0.415
k141_46576.concoct_part_0	0.000	0.000	0.000	3.740	0.000	0.599
k141_22604.concoct_part_0	0.000	0.000	2.044	0.000	0.300	0.000
k141_48750.concoct_part_0	0.000	0.000	0.000	4.021	0.000	0.000
k141_29143.concoct_part_0	0.126	0.000	0.000	2.453	0.000	0.000
k141_13958.concoct_part_0	0.000	0.000	0.353	0.000	0.000	0.089
k141_880.concoct_part_0	0.545	0.000	0.000	0.000	0.409	0.672
k141_44405.concoct_part_0	0.000	0.000	0.000	0.000	1.684	0.217
k141_33518.concoct_part_0	0.000	0.000	0.000	1.836	0.000	0.459
k141_50924.concoct_part_0	0.000	2.030	0.000	0.000	0.157	0.520
k141_42270.concoct_part_0	1.089	0.000	0.000	0.360	0.365	0.000
k141_18027.concoct_part_0	0.330	0.000	2.932	0.000	0.428	0.000
k141_9380.concoct_part_0	0.000	1.595	0.000	0.000	0.000	0.000
k141_16137.concoct_part_0	0.479	0.965	0.000	0.000	0.719	0.544
k141_26950.concoct_part_0	0.117	0.846	0.000	0.000	0.877	0.168
k141_37887.concoct_part_0	2.198	0.000	0.000	0.000	0.000	0.000
k141_29144.concoct_part_0	0.000	0.000	0.000	4.236	0.000	0.000
k141_13959.concoct_part_0	0.768	0.000	0.000	0.000	1.926	0.383
k141_35714.concoct_part_0	0.331	0.000	1.513	0.000	0.000	0.000
k141_33519.concoct_part_0	1.649	0.000	0.000	0.000	0.000	0.000
k141_2958.concoct_part_0	0.000	0.000	2.776	0.000	0.000	0.000
k141_31314.concoct_part_0	0.000	0.000	0.000	2.303	0.000	0.514
k141_5077.concoct_part_0	0.000	0.000	2.502	0.000	0.000	0.000
k141_9381.concoct_part_0	0.000	0.666	0.000	0.000	0.825	0.500
k141_46577.concoct_part_0	0.000	0.000	3.660	0.000	0.000	0.000
k141_24819.concoct_part_0	0.000	0.000	0.000	2.364	0.000	0.000
k141_42271.concoct_part_0	0.000	0.125	0.000	0.000	0.533	1.156
k141_44406.concoct_part_0	1.243	0.285	0.000	0.000	1.323	0.000
k141_37888.concoct_part_0	2.595	0.000	0.000	0.000	0.000	0.000
k141_18029.concoct_part_0	0.000	2.268	0.000	0.000	0.288	0.000
k141_50925.concoct_part_0	0.579	0.000	0.000	0.000	1.756	0.000
k141_29145.concoct_part_0	0.000	0.000	0.000	2.027	0.000	0.000
k141_2959.concoct_part_0	0.000	0.000	0.000	2.232	0.000	0.000
k141_33520.concoct_part_0	0.803	0.000	0.000	0.765	0.000	0.000
k141_46578.concoct_part_0	0.000	0.000	0.000	0.000	0.000	4.418
k141_42272.concoct_part_0	0.000	0.000	1.000	0.000	0.000	0.000
k141_13960.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.000
k141_37889.concoct_part_0	0.000	0.000	1.919	0.000	0.000	0.000
k141_35715.concoct_part_0	0.000	0.000	1.658	0.000	0.000	0.000
k141_50926.concoct_part_0	2.110	0.000	0.000	0.000	0.000	0.000
k141_29146.concoct_part_0	2.620	0.482	0.000	0.482	0.000	0.000
k141_11739.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.435
k141_24820.concoct_part_0	0.000	0.000	1.845	0.000	0.000	0.000
k141_5078.concoct_part_0	1.205	0.000	0.000	0.000	1.010	0.000
k141_9382.concoct_part_0	0.000	0.000	0.000	0.000	1.773	0.000
k141_26951.concoct_part_0	2.161	0.000	0.000	0.000	0.000	0.000
k141_2960.concoct_part_0	0.000	0.000	0.000	2.774	0.000	0.000
k141_37890.concoct_part_0	0.000	0.000	3.606	0.000	0.000	0.000
k141_42273.concoct_part_0	0.000	0.000	0.000	0.000	1.743	0.000
k141_13961.concoct_part_0	1.426	0.000	0.000	0.000	0.357	0.000
k141_24821.concoct_part_0	1.000	0.000	0.000	0.000	0.000	0.000
k141_11740.concoct_part_0	0.000	0.000	2.120	0.000	0.000	0.000
k141_35716.concoct_part_0	1.646	0.000	0.000	0.361	0.000	0.000
k141_46579.concoct_part_0	1.022	0.000	0.000	0.000	0.647	0.000
k141_33521.concoct_part_0	1.155	0.000	0.159	0.000	0.965	0.000
k141_42274.concoct_part_0	0.000	0.000	1.000	0.296	0.000	0.000
k141_29147.concoct_part_0	2.154	0.000	0.000	0.000	0.000	0.346
k141_9383.concoct_part_0	1.836	0.000	0.000	0.000	0.000	0.000
k141_37891.concoct_part_0	0.754	0.297	0.000	2.307	0.000	0.000
k141_11741.concoct_part_0	0.000	0.000	1.465	0.000	0.000	0.000
k141_2961.concoct_part_0	0.000	0.000	2.093	0.000	0.000	0.000
k141_35717.concoct_part_0	2.947	0.211	0.000	0.720	0.000	0.000
k141_16138.concoct_part_0	0.000	0.000	0.000	3.937	0.000	0.231
k141_26952.concoct_part_0	0.649	0.000	0.000	0.000	2.288	0.000
k141_42275.concoct_part_0	0.443	1.821	0.000	0.000	0.000	0.000
k141_37892.concoct_part_0	0.000	0.443	0.000	0.000	0.000	1.046
k141_2962.concoct_part_0	0.000	1.557	0.000	0.000	0.000	0.000
k141_46580.concoct_part_0	0.070	1.374	0.000	0.000	0.612	1.003
k141_44407.concoct_part_0	3.154	0.000	0.000	0.000	0.000	0.147
k141_13962.concoct_part_0	1.178	0.000	0.000	0.689	0.000	0.000
k141_16139.concoct_part_0	0.000	0.000	0.000	0.000	1.110	0.000
k141_29148.concoct_part_0	0.000	0.000	0.000	0.000	2.571	0.000
k141_33522.concoct_part_0	0.000	0.000	2.553	0.626	0.000	0.000
k141_9384.concoct_part_0	0.000	0.000	1.687	0.000	0.000	0.000
k141_40052.concoct_part_0	0.000	0.000	0.000	2.381	0.000	0.353
k141_11742.concoct_part_0	3.217	0.761	0.000	0.000	0.000	0.000
k141_37893.concoct_part_0	0.000	0.000	1.832	0.000	0.000	0.000
k141_33523.concoct_part_0	0.527	1.540	0.000	0.000	0.000	0.797
k141_42276.concoct_part_0	0.000	0.000	0.000	2.778	0.000	0.294
k141_9385.concoct_part_0	0.000	0.000	0.000	1.645	0.000	0.000
k141_16140.concoct_part_0	0.699	1.280	0.000	0.986	0.000	0.000
k141_18030.concoct_part_0	0.000	0.000	0.000	3.291	0.000	0.000
k141_44408.concoct_part_0	0.000	0.000	1.920	0.000	0.592	0.000
k141_5079.concoct_part_0	0.000	0.469	0.000	0.000	0.000	2.419
k141_46581.concoct_part_0	0.000	0.000	0.000	0.000	2.503	0.000
k141_29149.concoct_part_0	2.665	0.208	0.000	0.499	0.000	0.000
k141_26953.concoct_part_0	0.393	1.075	0.000	0.000	1.094	0.770
k141_7329.concoct_part_0	0.000	0.000	0.000	2.923	0.000	0.000
k141_33524.concoct_part_0	3.685	0.133	0.000	0.162	0.000	0.000
k141_16141.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.161
k141_42277.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.944
k141_2963.concoct_part_0	3.265	0.324	0.000	1.030	0.000	0.000
k141_31315.concoct_part_0	0.163	1.475	0.000	0.000	1.115	1.469
k141_26954.concoct_part_0	0.000	0.000	1.259	0.000	0.000	0.000
k141_5080.concoct_part_0	1.733	0.000	0.000	0.000	0.000	0.000
k141_29150.concoct_part_0	0.632	0.000	0.868	0.000	0.000	0.000
k141_35718.concoct_part_0	0.994	0.852	0.000	0.000	0.000	0.400
k141_40053.concoct_part_0	1.646	0.258	0.000	1.664	0.000	0.572
k141_48751.concoct_part_0	0.000	0.000	0.000	5.091	0.000	0.206
k141_37894.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.254
k141_33525.concoct_part_0	9.784	4.357	0.000	1.263	4.323	1.524
k141_11743.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.414
k141_5081.concoct_part_0	0.000	0.309	0.000	1.678	0.000	0.000
k141_31316.concoct_part_0	0.000	0.000	0.000	1.601	0.000	0.000
k141_22605.concoct_part_0	0.173	0.176	0.000	0.071	3.533	0.154
k141_18031.concoct_part_0	0.897	0.000	0.000	0.000	0.687	0.000
k141_16142.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.089
k141_35719.concoct_part_0	0.000	0.622	0.000	1.297	0.172	0.000
k141_24822.concoct_part_0	3.846	0.000	0.000	0.000	0.000	0.000
k141_20377.concoct_part_0	0.165	1.726	0.000	0.100	0.986	1.372
k141_48752.concoct_part_0	0.000	0.890	0.000	0.000	0.449	0.899
