contig	cov_mean_sample_C13.sorted	cov_mean_sample_C1.sorted	cov_mean_sample_C27.sorted	cov_mean_sample_C32.sorted	cov_mean_sample_C45.sorted	cov_mean_sample_C51.sorted
k141_13095.concoct_part_0	0.000	0.000	1.724	0.000	0.000	0.000
k141_28361.concoct_part_0	1.036	0.359	0.000	1.093	1.456	0.323
k141_37081.concoct_part_0	0.818	0.365	0.000	0.000	0.978	0.000
k141_6553.concoct_part_0	0.000	1.198	0.000	0.000	1.402	0.000
k141_10912.concoct_part_0	1.540	0.000	0.000	0.323	0.000	1.317
k141_41448.concoct_part_0	0.000	0.000	1.986	0.000	0.000	0.000
k141_13096.concoct_part_0	0.000	0.000	0.000	0.000	0.000	0.466
k141_28362.concoct_part_0	0.000	0.000	0.000	0.000	1.426	1.387
k141_26177.concoct_part_0	0.000	0.000	1.480	0.000	0.000	0.000
k141_50168.concoct_part_0	2.093	1.166	0.000	2.458	0.059	0.486
k141_32723.concoct_part_0	3.324	0.000	0.000	0.762	0.000	0.000
k141_14.concoct_part_0	0.000	0.000	0.000	4.394	0.000	0.000
k141_23998.concoct_part_0	0.000	0.000	2.007	0.000	0.065	0.000
k141_39263.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.477
k141_21816.concoct_part_0	0.000	0.000	0.000	0.198	0.000	1.765
k141_37082.concoct_part_0	0.000	3.626	0.000	0.000	0.238	0.000
k141_43628.concoct_part_0	2.892	0.000	0.000	0.000	0.000	0.122
k141_23999.concoct_part_0	0.000	0.000	2.446	0.000	0.000	0.000
k141_30545.concoct_part_0	0.853	1.610	0.096	0.708	10.205	0.610
k141_8727.concoct_part_0	1.025	0.000	0.000	0.958	0.000	0.289
k141_45805.concoct_part_0	0.392	1.001	0.000	0.097	0.936	1.219
k141_15.concoct_part_0	0.000	1.063	0.000	0.000	0.418	0.399
k141_41449.concoct_part_0	2.273	0.000	0.000	0.000	0.000	0.000
k141_21817.concoct_part_0	2.379	0.403	0.000	0.915	0.000	0.903
k141_19633.concoct_part_0	0.877	0.000	1.892	0.000	0.000	0.000
k141_47984.concoct_part_0	3.515	0.000	0.000	0.513	0.000	0.000
k141_28363.concoct_part_0	0.000	1.492	0.000	0.000	0.853	0.000
k141_2186.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.443
k141_37083.concoct_part_0	0.000	0.000	0.000	2.612	0.000	0.000
k141_21818.concoct_part_0	0.000	0.000	1.868	0.000	0.000	0.000
k141_41450.concoct_part_0	0.000	1.453	0.000	0.000	0.000	0.691
k141_50169.concoct_part_0	2.520	1.194	0.000	0.000	0.000	0.000
k141_6554.concoct_part_0	0.522	0.000	2.145	0.000	0.882	0.000
k141_16.concoct_part_0	0.000	1.251	0.000	0.268	0.586	1.251
k141_24000.concoct_part_0	0.000	0.000	3.019	0.000	0.000	0.000
k141_32724.concoct_part_0	0.000	0.000	1.563	0.346	0.000	0.000
k141_39264.concoct_part_0	0.000	1.031	0.000	0.841	0.000	0.000
k141_13097.concoct_part_0	0.995	1.092	0.000	0.000	0.598	0.000
k141_45806.concoct_part_0	0.000	0.000	2.615	0.000	0.000	0.000
k141_19634.concoct_part_0	0.000	0.000	1.932	0.000	0.000	0.000
k141_21819.concoct_part_0	1.417	0.676	0.000	0.000	0.000	0.000
k141_37084.concoct_part_0	0.000	0.117	0.000	2.083	0.000	0.000
k141_17.concoct_part_0	0.000	0.000	2.033	0.000	0.000	0.000
k141_6556.concoct_part_0	0.000	0.000	0.000	0.000	1.148	0.990
k141_41451.concoct_part_0	0.946	0.000	2.070	0.000	0.000	1.688
k141_8728.concoct_part_0	0.000	0.000	0.000	1.484	0.000	0.000
k141_50170.concoct_part_0	2.270	0.755	0.000	0.000	0.000	0.000
k141_10913.concoct_part_0	5.078	0.000	0.000	0.000	0.000	0.000
k141_43629.concoct_part_0	0.000	0.000	1.738	0.334	0.000	0.000
k141_21820.concoct_part_0	1.565	0.630	0.000	0.657	0.657	0.000
k141_13098.concoct_part_0	0.000	0.000	2.167	0.000	0.000	0.000
k141_24001.concoct_part_0	0.101	1.503	0.000	1.762	0.000	0.000
k141_47985.concoct_part_0	0.000	0.000	2.354	0.000	0.000	0.000
k141_41452.concoct_part_0	0.000	0.000	1.966	0.000	0.000	0.000
k141_28364.concoct_part_0	0.000	0.000	1.981	0.000	0.000	0.000
k141_10914.concoct_part_0	0.826	0.000	0.000	1.013	0.000	0.000
k141_45807.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.103
k141_21821.concoct_part_0	0.000	0.000	0.000	1.000	0.000	0.000
k141_43630.concoct_part_0	0.000	0.000	0.000	1.957	0.000	0.000
k141_6557.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.105
k141_50171.concoct_part_0	0.000	0.000	1.876	0.000	0.000	0.000
k141_30546.concoct_part_0	0.000	0.000	2.685	0.139	0.000	0.000
k141_18.concoct_part_0	1.646	0.654	0.000	0.272	0.000	0.328
k141_8729.concoct_part_0	0.000	0.000	4.514	0.000	0.239	0.000
k141_10915.concoct_part_0	0.000	0.000	1.555	0.000	0.000	0.000
